Unix Timestamp,Position,Value [kg]
1736436826.406329,Right,-0.00098
1736436826.511735,Left,0.0
1736436826.511735,Right,-0.00301
1736436826.6173213,Left,0.00306
1736436826.619405,Right,-0.00111
1736436826.72133,Left,0.29391
1736436826.7248404,Right,-0.00249
1736436826.8267403,Left,2.28349
1736436826.8267403,Right,-0.00491
1736436826.9314377,Left,4.94018
1736436826.9314377,Right,-0.00609
1736436827.0362666,Left,6.55364
1736436827.037774,Right,-0.00655
1736436827.1409838,Left,7.98802
1736436827.1452734,Right,7e-05
1736436827.1452734,Left,9.7443
1736436827.1452734,Right,0.00269
1736436827.252289,Left,9.67446
1736436827.252289,Right,0.00066
1736436827.3571115,Left,11.45098
1736436827.3571115,Right,0.00242
1736436827.4618692,Left,14.71377
1736436827.4676964,Right,0.00354
1736436827.5699968,Left,17.05676
1736436827.5729244,Right,0.00026
1736436827.6757689,Left,16.22048
1736436827.6787806,Right,0.01074
1736436827.781116,Left,16.2637
1736436827.781116,Right,0.01035
1736436827.885767,Left,18.24724
1736436827.885767,Right,0.00229
1736436827.9909863,Left,18.35061
1736436827.993011,Right,-0.00046
1736436828.0962677,Left,18.29371
1736436828.0962677,Right,-0.00242
1736436828.2014563,Left,19.03177
1736436828.2014563,Right,-0.00439
1736436828.3060403,Left,18.801
1736436828.3060403,Right,0.01481
1736436828.4108026,Left,18.54017
1736436828.4133127,Right,0.11097
1736436828.515842,Left,19.2514
1736436828.515842,Right,0.04946
1736436828.6202726,Left,19.36688
1736436828.6202726,Right,-0.00275
1736436828.72712,Left,19.90555
1736436828.7273483,Right,-0.00118
1736436828.8304567,Left,20.63924
1736436828.8304567,Right,0.15493
1736436828.935519,Left,20.46394
1736436828.935519,Right,0.4167
1736436829.0402076,Left,20.88276
1736436829.0402076,Right,0.15991
1736436829.1457698,Left,20.73102
1736436829.1457698,Right,0.07651
1736436829.250239,Left,21.06659
1736436829.2526877,Right,0.44363
1736436829.3553853,Left,21.81474
1736436829.3588936,Right,0.47828
1736436829.4877963,Left,21.46199
1736436829.4877963,Right,0.65922
1736436829.5910313,Left,20.93842
1736436829.5948489,Right,2.79135
1736436829.6963096,Left,20.61698
1736436829.6963096,Right,4.98343
1736436829.8012846,Left,21.32613
1736436829.8012846,Right,5.44579
1736436829.9059334,Left,23.39819
1736436829.9089484,Right,4.60282
1736436829.9089484,Left,25.27874
1736436829.9089484,Right,0.27868
1736436830.017482,Left,26.49544
1736436830.017482,Right,-0.00282
1736436830.123345,Left,27.41538
1736436830.123345,Right,0.00092
1736436830.227284,Left,26.06926
1736436830.2302926,Right,0.00288
1736436830.3322475,Left,25.36239
1736436830.3322475,Right,0.00046
1736436830.4376976,Left,25.84638
1736436830.4376976,Right,0.00183
1736436830.5423405,Left,26.7544
1736436830.5423405,Right,0.00059
1736436830.6471324,Left,28.41394
1736436830.649158,Right,-0.00118
1736436830.7525606,Left,28.56418
1736436830.7560692,Right,0.00059
1736436830.8572495,Left,27.8799
1736436830.8572495,Right,0.00249
1736436830.9622197,Left,28.60428
1736436830.9622197,Right,0.00845
1736436831.0668805,Left,29.01764
1736436831.0683858,Right,0.23
1736436831.1715615,Left,28.64419
1736436831.1715615,Right,3.74641
1736436831.276281,Left,27.27353
1736436831.276281,Right,6.3001
1736436831.3814623,Left,24.65538
1736436831.3814623,Right,8.08438
1736436831.4860213,Left,21.72888
1736436831.4890335,Right,9.36279
1736436831.5914629,Left,17.56835
1736436831.5914629,Right,12.09315
1736436831.6960046,Left,5.27998
1736436831.6960046,Right,15.56764
1736436831.8007236,Left,1.38406
1736436831.8007236,Right,17.47108
1736436831.9069536,Left,0.06158
1736436831.9069536,Right,19.78814
1736436832.0116532,Left,-0.00026
1736436832.0136516,Right,21.35742
1736436832.1165044,Left,-0.00059
1736436832.1165044,Right,21.32565
1736436832.2215042,Left,-0.0015
1736436832.2215042,Right,23.05057
1736436832.3275933,Left,0.03164
1736436832.3275933,Right,25.48425
1736436832.4328334,Left,0.57798
1736436832.434197,Right,24.47802
1736436832.5405335,Left,1.61548
1736436832.5405335,Right,23.43741
1736436832.6454506,Left,3.31116
1736436832.648263,Right,22.85981
1736436832.7500913,Left,7.81331
1736436832.7500913,Right,22.14818
1736436832.8548386,Left,11.40418
1736436832.8548386,Right,20.85771
1736436832.9613178,Left,14.05435
1736436832.9613178,Right,20.83092
1736436833.0653834,Left,17.20701
1736436833.0687222,Right,21.39135
1736436833.1702676,Left,20.94753
1736436833.1702676,Right,22.95447
1736436833.275246,Left,24.55462
1736436833.275246,Right,25.43813
1736436833.38069,Left,27.45268
1736436833.3826993,Right,27.36187
1736436833.4856799,Left,29.57284
1736436833.4856799,Right,27.50495
1736436833.5909517,Left,31.06484
1736436833.5909517,Right,27.40629
1736436833.696721,Left,31.7971
1736436833.696721,Right,27.84533
1736436833.8030486,Left,31.35126
1736436833.8030486,Right,26.61605
1736436833.8030486,Left,30.86415
1736436833.8030486,Right,25.93705
1736436833.91065,Left,31.77496
1736436833.91065,Right,26.16037
1736436834.0143528,Left,32.51432
1736436834.016602,Right,26.37367
1736436834.1193397,Left,32.36694
1736436834.1226199,Right,26.38664
1736436834.2239368,Left,32.20349
1736436834.2239368,Right,26.08543
1736436834.328762,Left,32.73857
1736436834.328762,Right,25.95283
1736436834.433532,Left,33.30504
1736436834.4350424,Right,26.08922
1736436834.5387814,Left,33.20499
1736436834.5422904,Right,26.80131
1736436834.6433854,Left,32.40496
1736436834.6433854,Right,27.75185
1736436834.7482958,Left,31.54309
1736436834.7482958,Right,28.06125
1736436834.85318,Left,30.63006
1736436834.8556898,Right,28.39456
1736436834.9587097,Left,30.7831
1736436834.9587097,Right,28.61343
1736436835.0639734,Left,31.21195
1736436835.0639734,Right,28.44789
1736436835.168809,Left,31.895
1736436835.168809,Right,28.43459
1736436835.2735643,Left,32.71482
1736436835.276073,Right,27.64389
1736436835.3786898,Left,32.7335
1736436835.3786898,Right,26.30036
1736436835.483524,Left,33.6175
1736436835.483524,Right,26.10757
1736436835.5881386,Left,34.10806
1736436835.589645,Right,26.24389
1736436835.693056,Left,34.02584
1736436835.6967816,Right,26.61055
1736436835.7987592,Left,33.33394
1736436835.7987592,Right,26.49885
1736436835.9033968,Left,32.88771
1736436835.9033968,Right,26.28281
1736436836.0094306,Left,32.76051
1736436836.0094306,Right,26.45614
1736436836.112918,Left,32.53971
1736436836.1169283,Right,27.1039
1736436836.2181551,Left,32.45919
1736436836.2229092,Right,27.39941
1736436836.3257792,Left,32.33583
1736436836.3257792,Right,27.4038
1736436836.4302912,Left,32.62192
1736436836.4302912,Right,26.94825
1736436836.5350456,Left,32.91218
1736436836.5365577,Right,26.72394
1736436836.6456144,Left,32.86271
1736436836.6456144,Right,26.84946
1736436836.7506247,Left,32.8161
1736436836.7506247,Right,26.92958
1736436836.856816,Left,32.81168
1736436836.856816,Right,26.99037
1736436836.9660149,Left,32.59569
1736436836.9660149,Right,27.09787
1736436837.0707345,Left,32.12941
1736436837.0707345,Right,27.42797
1736436837.175908,Left,31.73233
1736436837.1788723,Right,27.86571
1736436837.2808306,Left,31.65656
1736436837.2808306,Right,27.92886
1736436837.3858337,Left,31.78837
1736436837.3858337,Right,27.92139
1736436837.4907517,Left,31.69132
1736436837.4907517,Right,28.51589
1736436837.4987595,Left,31.03548
1736436837.5067627,Right,29.26813
1736436837.6260908,Left,30.14542
1736436837.630183,Right,30.13914
1736436837.7314508,Left,29.4336
1736436837.7314508,Right,30.71176
1736436837.836506,Left,29.0761
1736436837.836506,Right,30.81343
1736436837.9418874,Left,29.30139
1736436837.9418874,Right,30.41002
1736436838.0461192,Left,29.82652
1736436838.0492227,Right,29.60976
1736436838.151619,Left,30.43927
1736436838.151619,Right,29.00688
1736436838.2562275,Left,29.94929
1736436838.2562275,Right,28.75637
1736436838.360843,Left,31.04648
1736436838.3629324,Right,28.94065
1736436838.4662154,Left,32.92709
1736436838.4697247,Right,28.19161
1736436838.5712452,Left,34.33856
1736436838.5712452,Right,25.35519
1736436838.6763237,Left,34.13807
1736436838.6763237,Right,25.92519
1736436838.782639,Left,32.33465
1736436838.782639,Right,27.86833
1736436838.8897426,Left,30.05364
1736436838.8897426,Right,29.19188
1736436838.9953222,Left,30.63319
1736436838.9953222,Right,29.65293
1736436839.100097,Left,31.66007
1736436839.1023283,Right,28.25614
1736436839.2052946,Left,32.46817
1736436839.2052946,Right,27.90698
1736436839.310248,Left,31.65226
1736436839.310248,Right,28.50855
1736436839.4166412,Left,30.82561
1736436839.4166412,Right,28.54314
1736436839.5201232,Left,30.43022
1736436839.5201232,Right,28.33508
1736436839.6246262,Left,31.34709
1736436839.6246262,Right,28.22116
1736436839.7298722,Left,32.63956
1736436839.7298722,Right,27.33429
1736436839.8346395,Left,33.93295
1736436839.837147,Right,25.36391
1736436839.9439,Left,34.4183
1736436839.9439,Right,24.99849
1736436840.0488877,Left,34.29788
1736436840.0522852,Right,25.75978
1736436840.1538582,Left,33.63807
1736436840.1538582,Right,26.9168
1736436840.2586198,Left,32.55644
