Unix Timestamp,Position,Value [kg]
1736439699.9059808,Right,-0.00216
1736439700.0098002,Left,-0.00176
1736439700.0128133,Right,-0.00059
1736439700.1153402,Left,-0.0002
1736439700.1188672,Right,0.00314
1736439700.2213004,Left,-0.00124
1736439700.2213004,Right,0.00111
1736439700.3261824,Left,-0.00052
1736439700.3261824,Right,0.00092
1736439700.4306412,Left,0.00299
1736439700.4306412,Right,-0.0017
1736439700.5380352,Left,0.00215
1736439700.5380352,Right,-0.0021
1736439700.6453888,Left,0.0
1736439700.6453888,Right,0.00039
1736439700.749055,Left,-0.00267
1736439700.7520692,Right,-0.00052
1736439700.8893306,Left,-0.00124
1736439700.8974395,Right,-0.00347
1736439700.8974395,Left,7e-05
1736439700.8974395,Right,-0.00262
1736439701.0051963,Left,0.00039
1736439701.0051963,Right,0.00118
1736439701.110244,Left,0.00052
1736439701.110244,Right,0.00151
1736439701.2139015,Left,0.00065
1736439701.2159083,Right,-0.00111
1736439701.3185055,Left,0.0028
1736439701.3185055,Right,0.00013
1736439701.42274,Left,0.00065
1736439701.42274,Right,-0.00164
1736439701.5277474,Left,-0.00039
1736439701.5277474,Right,-0.00183
1736439701.6341279,Left,-0.00182
1736439701.6341279,Right,7e-05
1736439701.7380686,Left,-0.00033
1736439701.7410796,Right,0.00275
1736439701.8430781,Left,0.00026
1736439701.8430781,Right,-0.00138
1736439701.948248,Left,0.00182
1736439701.948248,Right,-0.00092
1736439702.052834,Left,0.00026
1736439702.052834,Right,0.00026
1736439702.1578891,Left,0.00046
1736439702.1578891,Right,7e-05
1736439702.26275,Left,0.00247
1736439702.2647607,Right,-0.00138
1736439702.3687692,Left,0.00286
1736439702.371279,Right,-0.00426
1736439702.4737594,Left,0.00221
1736439702.4737594,Right,-0.00242
1736439702.5782986,Left,0.00267
1736439702.5782986,Right,0.00341
1736439702.684796,Left,0.00169
1736439702.684796,Right,0.00236
1736439702.788765,Left,0.00013
1736439702.7907917,Right,0.00138
1736439702.8941784,Left,0.00078
1736439702.8941784,Right,0.00118
1736439702.9993174,Left,0.00026
1736439702.9993174,Right,0.04684
1736439703.105638,Left,0.00254
1736439703.105638,Right,0.40177
1736439703.2107491,Left,0.00195
1736439703.2107491,Right,0.63046
1736439703.3156316,Left,0.00137
1736439703.3181417,Right,1.20839
1736439703.4208233,Left,0.00247
1736439703.4208233,Right,2.0887
1736439703.525919,Left,0.00124
1736439703.525919,Right,3.01618
1736439703.6309247,Left,0.00026
1736439703.6309247,Right,4.40308
1736439703.7357984,Left,-0.00059
1736439703.7357984,Right,5.5867
1736439703.8407438,Left,0.00189
1736439703.8422515,Right,6.80825
1736439703.9459496,Left,0.00104
1736439703.9484603,Right,8.36626
1736439704.051051,Left,-0.00033
1736439704.0545754,Right,10.68267
1736439704.15626,Left,-0.00098
1736439704.15626,Right,711.0
1736439704.2611456,Left,-0.00013
1736439704.2611456,Right,20.32676
1736439704.2676535,Left,0.00124
1736439704.2676535,Right,21.90993
1736439704.3746102,Left,0.0002
1736439704.3746102,Right,21.27651
1736439704.4783633,Left,-0.00124
1736439704.4803722,Right,21.35532
1736439704.5835457,Left,0.00163
1736439704.5835457,Right,22.26865
1736439704.6882534,Left,0.0015
1736439704.6882534,Right,22.464
1736439704.794803,Left,0.00091
1736439704.794803,Right,22.17033
1736439704.898392,Left,-0.00059
1736439704.901403,Right,22.36535
1736439705.0031269,Left,0.00254
1736439705.0031269,Right,23.28529
1736439705.1095157,Left,0.04687
1736439705.1095157,Right,24.62561
1736439705.2152367,Left,0.0606
1736439705.2152367,Right,25.22195
1736439705.3195503,Left,0.01354
1736439705.324344,Right,25.5639
1736439705.4325817,Left,0.40893
1736439705.4325817,Right,25.34661
1736439705.5377808,Left,2.19431
1736439705.5377808,Right,25.0433
1736439705.6432273,Left,4.15805
1736439705.6432273,Right,24.84343
1736439705.7903,Left,4.37703
1736439705.7963414,Right,25.41002
1736439705.897923,Left,3.92403
