Unix Timestamp,Left Value,Right Value
1733843677.2603085,-7.48e-05,
1733843677.3700051,-7.219999999999999e-05,
1733843677.3719358,,0.0023406
1733843677.4743311,-7.939999999999999e-05,
1733843677.4743311,,0.0019273
1733843677.580821,-8.99e-05,
1733843677.5835261,,0.0011801000000000001
1733843677.6869328,-8.2e-05,
1733843677.6906347,,0.0005392
1733843677.7946856,-8.460000000000001e-05,
1733843677.800104,,0.0002703
1733843677.9023116,-9.51e-05,
1733843677.907987,,9.180000000000001e-05
1733843678.01071,-8.72e-05,
1733843678.0134625,,-0.0001004
1733843678.1150217,-7.219999999999999e-05,
1733843678.1150217,,-0.0001443
1733843678.2200809,-5.8399999999999997e-05,
1733843678.2200809,,-0.000143
1733843678.3253663,-0.0001128,
1733843678.3273783,,-0.0001417
1733843678.4296882,-0.00011480000000000001,
1733843678.43191,,-0.00016140000000000002
1733843678.534827,-6.49e-05,
1733843678.5367038,,-0.0001312
1733843678.6381257,-5.9e-05,
1733843678.6381257,,-0.0001227
1733843678.7427557,-5.5100000000000004e-05,
1733843678.7453032,,-9.05e-05
1733843678.8471189,-5.8399999999999997e-05,
1733843678.849136,,-5.25e-05
1733843678.9531698,-7.939999999999999e-05,
1733843678.9531698,,-7.08e-05
1733843679.060177,-9.379999999999999e-05,
1733843679.0609913,,-0.00011549999999999999
1733843679.164808,-9.12e-05,
1733843679.1680844,,-7.08e-05
1733843679.2708817,-7.74e-05,
1733843679.2735517,,-9.769999999999999e-05
1733843679.3892758,-8.269999999999999e-05,
1733843679.393814,,-0.0001036
1733843679.4967413,-7.41e-05,
1733843679.4992566,,-5.71e-05
1733843679.4992566,-6.3e-05,
1733843679.5052743,,-7.02e-05
1733843679.6086497,-0.0001056,
1733843679.6086497,,-8.269999999999999e-05
1733843679.7122064,-8.99e-05,
1733843679.7152412,,-4.5900000000000004e-05
1733843679.8200996,-7.74e-05,
1733843679.8200996,,-3.94e-05
1733843679.9275289,-6.76e-05,
1733843679.9275289,,-6.0400000000000004e-05
1733843680.0324156,-5.9699999999999994e-05,
1733843680.0344338,,-4.6e-06
1733843680.1377723,-7.41e-05,
1733843680.1428802,,-9.8e-06
1733843680.24585,-8.79e-05,
