Unix Timestamp,Position,Value [kg]
1736440334.1709802,Left,0.01699
1736440334.1709802,Right,-1.56141
1736440334.2749028,Left,0.01478
1736440334.2749028,Right,-1.61454
1736440334.3772635,Left,0.01588
1736440334.3772635,Right,-1.38238
1736440334.4806073,Left,0.01608
1736440334.4806073,Right,-1.00858
1736440334.5827863,Left,0.0151
1736440334.5827863,Right,-0.63963
1736440334.685095,Left,0.01471
1736440334.685095,Right,-0.24094
1736440334.7870474,Left,0.01569
1736440334.789053,Right,0.08536
1736440334.8901849,Left,0.01588
1736440334.8901849,Right,0.08693
1736440334.992438,Left,0.01725
1736440334.9939423,Right,0.09767
1736440335.095086,Left,0.01588
1736440335.095086,Right,0.12453
1736440335.1985524,Left,0.01094
1736440335.1986806,Right,0.17773
1736440335.300937,Left,0.01243
1736440335.300937,Right,0.18533
1736440335.4037943,Left,0.00521
1736440335.4037943,Right,0.13705
1736440335.5069928,Left,0.00859
1736440335.5069928,Right,0.1001
1736440335.6097496,Left,0.01328
1736440335.6097496,Right,0.06603
1736440335.712638,Left,0.01282
1736440335.7138755,Right,0.05274
1736440335.8151667,Left,0.01087
1736440335.8151667,Right,0.06151
1736440335.9175265,Left,0.03339
1736440335.9175265,Right,0.08883
1736440336.0207834,Left,0.0787
1736440336.0207834,Right,0.2116
1736440336.1233346,Left,0.15226
1736440336.124901,Right,0.20164
1736440336.226956,Left,0.27822
1736440336.226956,Right,0.20072
1736440336.329613,Left,0.34716
1736440336.329613,Right,0.23721
1736440336.4314013,Left,0.38621
1736440336.4314013,Right,0.27678
1736440336.5343518,Left,0.41713
1736440336.5358574,Right,0.34085
1736440336.6381052,Left,0.47989
1736440336.6381052,Right,0.39718
1736440336.7405744,Left,0.53515
1736440336.7405744,Right,0.37144
1736440336.843909,Left,0.53502
1736440336.843909,Right,0.33213
1736440336.9467034,Left,0.5164
1736440336.9467034,Right,0.34818
1736440337.049071,Left,0.50885
1736440337.049071,Right,0.35722
1736440337.1522524,Left,0.43152
1736440337.1522524,Right,0.25955
1736440337.2554555,Left,0.20687
1736440337.256461,Right,0.10003
1736440337.357725,Left,0.02298
1736440337.3592823,Right,0.09833
1736440337.4601111,Left,-0.00176
1736440337.4601111,Right,0.09826
1736440337.5621698,Left,-0.00098
1736440337.5621698,Right,0.09512
1736440337.6656215,Left,0.00664
1736440337.6681275,Right,0.06682
1736440337.7690532,Left,0.00866
1736440337.7690532,Right,-0.06924
1736440337.871679,Left,0.01068
1736440337.871679,Right,-0.20445
1736440337.9742434,Left,0.01302
1736440337.9742434,Right,-0.35211
1736440338.0768356,Left,0.02363
1736440338.0768356,Right,-0.67802
1736440338.1793385,Left,0.02838
1736440338.1793385,Right,-1.03898
1736440338.282188,Left,0.02682
1736440338.282188,Right,-1.1529
1736440338.3844075,Left,0.02962
1736440338.3864114,Right,-1.20367
1736440338.488007,Left,0.02994
1736440338.488007,Right,-1.20734
1736440338.5913842,Left,0.03203
1736440338.5913842,Right,-1.21022
1736440338.6944308,Left,0.02955
1736440338.6944308,Right,-1.19934
1736440338.7971432,Left,0.03001
1736440338.7971432,Right,-1.03858
1736440338.9008064,Left,0.02988
1736440338.9050674,Right,-0.70573
1736440339.0064662,Left,0.02708
1736440339.0064662,Right,-0.32964
1736440339.1098642,Left,0.02239
1736440339.1098642,Right,-0.04062
1736440339.2121453,Left,0.01699
1736440339.2121453,Right,0.11458
1736440339.3150702,Left,0.02252
1736440339.3150702,Right,0.14943
1736440339.4187434,Left,0.02591
1736440339.4187434,Right,0.16194
1736440339.5206883,Left,0.02656
1736440339.5206883,Right,0.21356
1736440339.6231127,Left,0.03346
