Unix Timestamp,Position,Value [kg]
1736440788.4714935,Left,-0.00332
1736440788.4714935,Right,-0.00563
1736440788.5740585,Left,-0.00215
1736440788.5740585,Right,-0.00576
1736440788.676593,Left,-0.00072
1736440788.676593,Right,0.00052
1736440788.778897,Left,-0.0013
1736440788.78058,Right,0.00066
1736440788.8821492,Left,-0.00111
1736440788.8821492,Right,0.00013
1736440788.9848156,Left,-0.00365
1736440788.9848156,Right,-0.00275
1736440789.0877607,Left,-0.00365
1736440789.0877607,Right,-0.00413
1736440789.1901436,Left,-0.00208
1736440789.1901436,Right,-0.00753
1736440789.2928097,Left,-0.0026
1736440789.2947257,Right,-0.00806
1736440789.3956347,Left,0.00111
1736440789.3956347,Right,0.01022
1736440789.4978547,Left,0.00124
1736440789.4978547,Right,0.16849
1736440789.6002507,Left,-0.00091
1736440789.6002507,Right,0.39672
1736440789.703473,Left,-0.00137
1736440789.703473,Right,0.64343
1736440789.8051817,Left,0.0015
1736440789.8051817,Right,0.54248
1736440789.9076953,Left,-0.00195
1736440789.9076953,Right,0.20216
1736440790.0102103,Left,-0.00195
1736440790.0102103,Right,0.18094
1736440790.1127727,Left,-0.0002
1736440790.1127727,Right,0.64507
1736440790.2159488,Left,-0.00137
1736440790.2174683,Right,1.7168
1736440790.3191876,Left,-0.00234
1736440790.3191876,Right,3.04782
1736440790.4220135,Left,-0.00417
1736440790.4220135,Right,4.67147
1736440790.5247304,Left,-0.00065
1736440790.5247304,Right,6.9639
1736440790.6276004,Left,7e-05
1736440790.6276004,Right,10.84324
1736440790.7300174,Left,-0.00273
1736440790.7300174,Right,15.98801
1736440790.832644,Left,-0.00176
1736440790.832644,Right,22.01153
1736440790.9353838,Left,0.00059
1736440790.9353838,Right,28.18179
1736440791.0376627,Left,-0.0002
1736440791.0376627,Right,33.91968
1736440791.1400542,Left,-0.00508
1736440791.1400542,Right,38.42646
1736440791.242371,Left,-0.00404
1736440791.242371,Right,41.74163
1736440791.3453178,Left,-0.00098
1736440791.3453178,Right,44.32519
1736440791.4478736,Left,0.00091
1736440791.4478736,Right,45.97858
1736440791.550328,Left,7e-05
1736440791.550328,Right,45.97157
1736440791.653311,Left,0.00085
1736440791.6555834,Right,46.03026
1736440791.7577007,Left,0.00124
1736440791.7577007,Right,47.72375
1736440791.860734,Left,-0.00039
1736440791.860734,Right,50.60046
1736440791.9637063,Left,-0.00065
1736440791.9637063,Right,53.89328
1736440792.0660856,Left,0.00104
