Unix Timestamp,Position,Value [kg]
1736440095.4281096,Right,-0.00098
1736440095.5312915,Left,-0.00085
1736440095.5312915,Right,-0.00223
1736440095.633422,Left,-0.00111
1736440095.633422,Right,-0.00406
1736440095.7365062,Left,-0.00221
1736440095.7365062,Right,-0.00341
1736440095.839448,Left,-0.00267
1736440095.839448,Right,-0.00321
1736440095.9423926,Left,0.00026
1736440095.9423926,Right,0.00111
1736440096.0451167,Left,0.00111
1736440096.0451167,Right,0.00223
1736440096.1487336,Left,0.00228
1736440096.1487336,Right,0.00013
1736440096.252031,Left,0.00039
1736440096.252031,Right,-0.00111
1736440096.3554118,Left,0.00163
1736440096.3554118,Right,-0.00367
1736440096.4586751,Left,0.00046
1736440096.4586751,Right,-0.00131
1736440096.5613666,Left,-0.00091
1736440096.5613666,Right,0.00066
1736440096.6639764,Left,-0.00254
1736440096.6639764,Right,0.00236
1736440096.7673373,Left,-0.00098
1736440096.7673373,Right,-0.00157
1736440096.8706827,Left,0.00358
1736440096.8706827,Right,-0.00295
1736440096.973698,Left,0.12915
1736440096.973698,Right,-0.00138
1736440097.0758095,Left,0.70271
1736440097.0758095,Right,0.00098
1736440097.1775963,Left,0.72744
1736440097.180124,Right,0.00013
1736440097.280985,Left,0.48158
1736440097.280985,Right,0.00052
1736440097.3834248,Left,0.19119
1736440097.3834248,Right,0.00039
1736440097.486315,Left,0.00833
1736440097.486315,Right,-0.0036
1736440097.588458,Left,0.00325
1736440097.589494,Right,-0.0017
1736440097.6904109,Left,-0.00078
1736440097.6904109,Right,-0.00052
1736440097.7925842,Left,0.00247
1736440097.7925842,Right,-0.00039
1736440097.8951015,Left,0.31995
1736440097.8963346,Right,0.00144
1736440097.9980865,Left,2.07987
1736440098.000043,Right,0.00052
1736440098.1014776,Left,5.13904
1736440098.1014776,Right,-0.00334
1736440098.2034025,Left,11.85679
1736440098.2094662,Right,-0.00262
1736440098.21151,Left,22.3219
1736440098.215846,Right,-0.00236
1736440098.318294,Left,40.08221
1736440098.318294,Right,-0.00138
1736440098.4237633,Left,57.80276
1736440098.4237633,Right,-0.00059
1736440098.5259311,Left,65.33023
1736440098.5259311,Right,0.0
1736440098.6283288,Left,65.99369
1736440098.6283288,Right,-0.00098
1736440098.7329626,Left,67.44545
1736440098.7329626,Right,-0.00157
1736440098.8352807,Left,68.85217
1736440098.8352807,Right,0.00085
1736440098.9380577,Left,69.20915
1736440098.9380577,Right,0.00459
1736440099.0400438,Left,68.60324
1736440099.0400438,Right,0.00242
1736440099.143719,Left,68.08261
1736440099.143719,Right,0.05326
1736440099.2468207,Left,67.37183
1736440099.2468207,Right,1.03282
1736440099.350944,Left,65.13137
1736440099.350944,Right,3.80151
1736440099.4568992,Left,60.0996
1736440099.4568992,Right,8.43446
1736440099.5584738,Left,55.20524
1736440099.5584738,Right,14.83734
1736440099.6612208,Left,50.55741
1736440099.6612208,Right,22.63315
1736440099.7631414,Left,46.18279
1736440099.7631414,Right,29.64776
1736440099.8656435,Left,43.48145
1736440099.8656435,Right,35.1282
1736440099.9683442,Left,40.61893
1736440099.9683442,Right,38.69898
1736440100.0705867,Left,38.48457
1736440100.0705867,Right,40.37864
1736440100.173038,Left,37.70394
1736440100.173038,Right,39.80498
1736440100.276081,Left,36.08104
1736440100.276081,Right,40.43787
1736440100.378481,Left,35.27399
1736440100.3808045,Right,40.49322
1736440100.4814346,Left,36.28857
1736440100.4814346,Right,39.66544
1736440100.5838583,Left,37.3894
1736440100.5838583,Right,39.40131
1736440100.6867561,Left,38.99407
1736440100.6867561,Right,38.95368
1736440100.7887738,Left,44.29911
1736440100.7887738,Right,36.00275
1736440100.8916907,Left,46.70635
1736440100.8916907,Right,32.9694
1736440100.9938955,Left,49.53535
1736440100.9938955,Right,30.47213
1736440101.0960436,Left,52.06405
1736440101.0975664,Right,27.84998
1736440101.1991546,Left,51.44356
1736440101.1991546,Right,26.5489
1736440101.3013954,Left,48.8894
1736440101.3013954,Right,30.73082
1736440101.404161,Left,45.99004
1736440101.4061882,Right,33.18893
1736440101.5091755,Left,43.59035
1736440101.5091755,Right,35.6169
1736440101.6118596,Left,41.85275
1736440101.6118596,Right,37.24841
1736440101.7149796,Left,40.96589
1736440101.717163,Right,38.10783
1736440101.8181117,Left,40.3357
1736440101.8233507,Right,38.4623
1736440101.925455,Left,40.29208
1736440101.925455,Right,38.18441
1736440102.0277317,Left,41.50338
1736440102.0277317,Right,37.24553
1736440102.1305451,Left,42.49466
1736440102.1305451,Right,36.13763
1736440102.2338493,Left,43.13956
1736440102.2338493,Right,35.56724
1736440102.3371038,Left,43.64991
1736440102.3371038,Right,35.07946
1736440102.4387763,Left,43.77809
1736440102.4387763,Right,34.97877
1736440102.5408695,Left,43.46003
1736440102.5421195,Right,35.85594
1736440102.6431785,Left,42.72608
1736440102.6431785,Right,36.57478
1736440102.7451065,Left,42.0181
1736440102.7451065,Right,37.1284
1736440102.8483741,Left,41.43907
1736440102.8483741,Right,37.49918
1736440102.9513738,Left,41.2055
1736440102.9513738,Right,37.63348
1736440103.0551038,Left,41.31604
1736440103.0551038,Right,37.46557
1736440103.1573741,Left,41.33166
1736440103.1573741,Right,37.25955
1736440103.2600305,Left,41.38706
1736440103.2600305,Right,37.2657
1736440103.3626513,Left,41.54505
1736440103.3626513,Right,37.24605
1736440103.4654906,Left,41.57128
1736440103.4654906,Right,37.24612
1736440103.56798,Left,41.71716
1736440103.56798,Right,36.9846
1736440103.670653,Left,41.72842
1736440103.670653,Right,36.88686
1736440103.7737103,Left,41.55884
1736440103.7737103,Right,37.17805
1736440103.876144,Left,41.68481
1736440103.876144,Right,37.21958
1736440103.97938,Left,41.31103
1736440103.97938,Right,37.7434
1736440104.0819054,Left,39.98184
1736440104.083588,Right,38.44579
1736440104.185191,Left,39.79352
1736440104.185191,Right,38.94517
1736440104.288519,Left,40.18565
1736440104.288519,Right,38.53384
1736440104.391222,Left,40.19008
1736440104.391222,Right,38.40445
1736440104.493578,Left,40.38191
1736440104.493578,Right,38.32237
1736440104.5956964,Left,40.78056
1736440104.5956964,Right,37.95139
1736440104.698956,Left,41.11385
1736440104.698956,Right,37.5926
1736440104.8009658,Left,41.04361
1736440104.8009658,Right,37.48123
