Unix Timestamp,Position,Value [kg]
1736440676.1095855,Right,0.0076
1736440676.2109523,Left,-0.00065
1736440676.2109523,Right,0.0057
1736440676.3131573,Left,-0.00124
1736440676.3131573,Right,0.00518
1736440676.4156408,Left,-0.00046
1736440676.4156408,Right,0.00406
1736440676.5182154,Left,-0.00189
1736440676.5182154,Right,0.0036
1736440676.6211188,Left,-0.00098
1736440676.6229672,Right,0.00236
1736440676.723654,Left,-0.00189
1736440676.723654,Right,0.00498
1736440676.8261995,Left,-0.00169
1736440676.8272178,Right,0.00426
1736440676.9291923,Left,0.00013
1736440676.9291923,Right,0.00328
1736440677.0324283,Left,-0.00182
1736440677.0324283,Right,0.00681
1736440677.1351051,Left,-0.00033
1736440677.1351051,Right,0.0021
1736440677.2374377,Left,0.00176
1736440677.2374377,Right,0.00649
1736440677.340107,Left,0.00046
1736440677.340107,Right,0.00478
1736440677.4424672,Left,-0.00098
1736440677.4424672,Right,0.00393
1736440677.545237,Left,0.00072
1736440677.545237,Right,0.00432
1736440677.6472042,Left,0.00202
1736440677.6472042,Right,0.00544
1736440677.7503073,Left,0.00124
1736440677.7503073,Right,0.00413
1736440677.8528595,Left,0.00143
1736440677.8528595,Right,0.00452
1736440677.955303,Left,-0.00202
1736440677.955303,Right,0.00321
1736440678.0579867,Left,-0.00456
1736440678.0579867,Right,0.00242
1736440678.1604173,Left,-0.00286
1736440678.1604173,Right,0.00308
1736440678.26295,Left,-0.00215
1736440678.26295,Right,0.0021
1736440678.3649983,Left,-0.00052
1736440678.3660192,Right,0.00216
1736440678.4676821,Left,0.00208
1736440678.4676821,Right,0.00334
1736440678.5701506,Left,0.00182
1736440678.5701506,Right,0.00255
1736440678.6724634,Left,0.01269
1736440678.6724634,Right,0.00203
1736440678.7756264,Left,0.21176
1736440678.7756264,Right,0.00295
1736440678.8781517,Left,0.58632
1736440678.8781517,Right,0.0002
1736440678.981286,Left,1.1201
1736440678.981286,Right,-0.00092
1736440679.083747,Left,2.45196
1736440679.083747,Right,0.00223
1736440679.1876774,Left,3.79898
1736440679.1876774,Right,0.00655
1736440679.2901735,Left,3.80198
1736440679.2901735,Right,0.00295
1736440679.3926132,Left,3.09816
1736440679.3926132,Right,0.0036
1736440679.4952843,Left,1.78362
1736440679.4952843,Right,0.0078
1736440679.5979023,Left,0.64217
1736440679.5979023,Right,0.00144
1736440679.7001874,Left,1.64627
1736440679.7001874,Right,0.05915
1736440679.8047323,Left,4.37358
1736440679.8047323,Right,1.33482
1736440679.9066346,Left,6.46986
1736440679.9066346,Right,4.56888
1736440680.009775,Left,5.72211
1736440680.009775,Right,7.20177
1736440680.1125696,Left,2.10572
1736440680.1140745,Right,10.32525
1736440680.2157648,Left,1.63371
1736440680.2157648,Right,11.74844
1736440680.3193028,Left,6.67472
1736440680.3193028,Right,11.90868
1736440680.4219337,Left,13.38797
1736440680.4219337,Right,10.26721
1736440680.52413,Left,19.48021
1736440680.52413,Right,5.02928
1736440680.6262515,Left,22.29586
1736440680.6262515,Right,1.04114
1736440680.7292328,Left,24.71247
1736440680.7292328,Right,3.38605
1736440680.8318315,Left,25.96413
1736440680.83285,Right,16.3396
1736440680.9345534,Left,25.24001
1736440680.9345534,Right,18.49381
1736440681.0374227,Left,25.13091
1736440681.0374227,Right,18.23596
1736440681.1398768,Left,24.30855
1736440681.1398768,Right,19.19705
1736440681.242594,Left,21.59341
1736440681.242594,Right,21.82693
1736440681.344922,Left,20.9586
1736440681.3466175,Right,23.69551
1736440681.4471648,Left,21.89663
1736440681.4471648,Right,23.76633
1736440681.5496852,Left,22.10546
1736440681.5507033,Right,23.06381
1736440681.6523547,Left,21.9752
1736440681.6523547,Right,23.90272
1736440681.7558901,Left,22.90353
1736440681.7558901,Right,25.23321
1736440681.8602138,Left,24.63553
1736440681.8602138,Right,26.1793
1736440681.9619536,Left,27.00267
1736440681.9619536,Right,27.287
1736440682.0645328,Left,29.2736
1736440682.0645328,Right,27.75526
1736440682.1675026,Left,30.75693
